db,flux change,color,footprint,star count,depth,family
baseline_nexp2_v1.7.1_10yrs.db,0.4644475477113411,0.5211372969026565,0.6582620811626708,0.36140838928131097,0.999311044741087,baseline
baseline_retrofoot_v2.0_10yrs.db,0.5693818328317225,0.6212215556090829,0.9756733270383315,0.49902409368405215,0.8431298442539458,baseline
baseline_v2.0_10yrs.db,0.5682170409468946,0.612515197955168,0.7424406802281337,0.7792386544262793,0.7055408916753503,baseline
bluer_indx0_v2.0_10yrs.db,0.5484695660055393,0.6258589333538469,0.7966295093939352,0.7803491938008019,0.6847532442453551,bluer
bluer_indx1_v2.0_10yrs.db,0.6042267684986393,0.6494563427471086,0.8627445913957212,0.8623023046251415,0.6875228547327678,bluer
ddf_frac_ddf_per0.6_v2.0_10yrs.db,0.5519634692745677,0.62000287169604,0.8279028705013803,0.8749594272864238,0.713438892440437,ddf
ddf_frac_ddf_per1.6_v2.0_10yrs.db,0.5165086590280755,0.6036831364435069,0.6151259930666205,0.6961612092083431,0.657538217745187,ddf
long_gaps_nightsoff0_delayed-1_v2.0_10yrs.db,0.6482612066005077,0.525859470325059,0.654232354400511,0.7006248621338489,0.33881918181665915,long
long_gaps_nightsoff0_delayed1827_v2.0_10yrs.db,0.6983967108302989,0.5412249202050397,0.7002912689344167,0.7177369269937081,0.5527319890432902,long
long_gaps_nightsoff1_delayed-1_v2.0_10yrs.db,0.685408624018248,0.5811334324120676,0.6864346013079349,0.7247097729584543,0.5530685952938389,long
long_gaps_nightsoff1_delayed1827_v2.0_10yrs.db,0.6665978168543255,0.6013933103868554,0.7258031147995315,0.7495242472209644,0.6324658008361773,long
long_gaps_nightsoff2_delayed-1_v2.0_10yrs.db,0.6816671994805662,0.5789922152863842,0.6896515645258651,0.7932245637416078,0.6098431117848093,long
long_gaps_nightsoff2_delayed1827_v2.0_10yrs.db,0.6665981788901936,0.5972934637382992,0.7252474867622268,0.7864174860726224,0.6647958131167495,long
long_gaps_nightsoff3_delayed-1_v2.0_10yrs.db,0.6764366456198548,0.5997182583163914,0.7146697215725634,0.7934812806936375,0.6446103078729504,long
long_gaps_nightsoff3_delayed1827_v2.0_10yrs.db,0.6284016769033957,0.5976178399359301,0.728468096914804,0.773640025072713,0.6831846978364148,long
long_gaps_nightsoff4_delayed-1_v2.0_10yrs.db,0.6740417340897757,0.5897499061425254,0.7193241595723062,0.7549484465617357,0.643260420487073,long
long_gaps_nightsoff4_delayed1827_v2.0_10yrs.db,0.5707510033608273,0.5815622466116598,0.7310688721965464,0.8273106268035403,0.6810937420773084,long
long_gaps_nightsoff5_delayed-1_v2.0_10yrs.db,0.668015370111199,0.6057542871903087,0.7303668831809191,0.7856638501045509,0.6572012085622791,long
long_gaps_nightsoff5_delayed1827_v2.0_10yrs.db,0.6242092576160118,0.6097809668525147,0.734354487933853,0.7700750802200768,0.6814923783055672,long
long_gaps_nightsoff6_delayed-1_v2.0_10yrs.db,0.6621716630933449,0.6199741311851824,0.726272312676004,0.7625706579002149,0.6559685121986828,long
long_gaps_nightsoff6_delayed1827_v2.0_10yrs.db,0.5944797098172481,0.591741528943595,0.7364721432169057,0.7990299746230927,0.684601401336049,long
long_gaps_nightsoff7_delayed-1_v2.0_10yrs.db,0.6582023318874045,0.6082786314362622,0.735047305445846,0.7919117329281808,0.6595634244954326,long
long_gaps_nightsoff7_delayed1827_v2.0_10yrs.db,0.5989176111353542,0.5879629757587538,0.739836319335488,0.7650637724169365,0.6908853390932073,long
long_gaps_np_nightsoff0_delayed-1_v2.0_10yrs.db,0.8222395901038088,0.5082579319902373,0.5890495356117962,0.5798152224382138,0.27540160682516646,long
long_gaps_np_nightsoff0_delayed1827_v2.0_10yrs.db,0.8275400020422827,0.5887648916896214,0.6589520529043189,0.633225407103377,0.5222876190079336,long
long_gaps_np_nightsoff1_delayed-1_v2.0_10yrs.db,0.8076009299703992,0.544225730028602,0.6093992853723634,0.6540336304171463,0.5012113919033248,long
long_gaps_np_nightsoff1_delayed1827_v2.0_10yrs.db,0.7726883855617102,0.5750732610465781,0.6839585612497296,0.6974867948121737,0.61995323038319,long
long_gaps_np_nightsoff2_delayed-1_v2.0_10yrs.db,0.7961050791142825,0.5866436852019145,0.6400786964098247,0.6738612943709452,0.5855016074863144,long
long_gaps_np_nightsoff2_delayed1827_v2.0_10yrs.db,0.7557568518843317,0.6159213574285674,0.6907542118233198,0.6869177410466004,0.6452577359597492,long
long_gaps_np_nightsoff3_delayed-1_v2.0_10yrs.db,0.7388401675387125,0.5996407090391587,0.6783225425709702,0.7478708924033531,0.6168942704478196,long
long_gaps_np_nightsoff3_delayed1827_v2.0_10yrs.db,0.7431085456420977,0.6125914519066695,0.7043299396791038,0.7673909869075645,0.6589993070906799,long
long_gaps_np_nightsoff4_delayed-1_v2.0_10yrs.db,0.7708704838065383,0.5873355849209111,0.6872695930274058,0.7850601869863849,0.6180652812377238,long
long_gaps_np_nightsoff4_delayed1827_v2.0_10yrs.db,0.7256352566378146,0.593521948957159,0.7184141257606469,0.7913184564888394,0.6685620754174916,long
long_gaps_np_nightsoff5_delayed-1_v2.0_10yrs.db,0.7232072637539575,0.5726958113318276,0.6987710284841802,0.8308391569779948,0.638727911394796,long
long_gaps_np_nightsoff5_delayed1827_v2.0_10yrs.db,0.7203033736320298,0.583709343792557,0.7210619576496005,0.7590977239622901,0.6746133426710689,long
long_gaps_np_nightsoff6_delayed-1_v2.0_10yrs.db,0.7499625331447562,0.6087683372409419,0.6916681305694277,0.7553137277847084,0.6433594727082333,long
long_gaps_np_nightsoff6_delayed1827_v2.0_10yrs.db,0.6553070143680382,0.5840566923183416,0.723282185651898,0.7835274306861918,0.6820353631616595,long
long_gaps_np_nightsoff7_delayed-1_v2.0_10yrs.db,0.7469126069090524,0.5975679709932548,0.7148583490577335,0.7544581907255806,0.6576691642160526,long
long_gaps_np_nightsoff7_delayed1827_v2.0_10yrs.db,0.6790447686107407,0.6121967788883662,0.726227687163919,0.7480596141623651,0.6858761265958974,long
long_u1_v2.0_10yrs.db,0.47564846459867255,0.5836118122167673,0.6150928298718037,0.6460949992481994,0.8011976781216011,long
long_u2_v2.0_10yrs.db,0.4570515000104743,0.5378119533015824,0.6276660834936494,0.6548700733010167,0.8264412950769902,long
noroll_v2.0_10yrs.db,0.4873338725648707,0.535146326138472,0.5427106510567767,0.7661864968575967,0.7833204873926134,noroll
presto_gap1.5_mix_v2.0_10yrs.db,0.5273004119129042,0.603654576886328,0.45994625396118166,0.4690588790865848,0.25392866999495534,presto
presto_gap1.5_v2.0_10yrs.db,0.34415634739138146,0.39423777062637566,0.5185321973070806,0.47352621762903374,0.14939945694706497,presto
presto_gap2.0_mix_v2.0_10yrs.db,0.5296330084469905,0.640437748191217,0.48531691300225366,0.5196809249171552,0.2565111215762522,presto
presto_gap2.0_v2.0_10yrs.db,0.5175060139565173,0.422980950835953,0.5426277978333597,0.5680827890236511,0.18728195219896432,presto
presto_gap2.5_mix_v2.0_10yrs.db,0.5884102931205836,0.6772063809200906,0.48289358925354237,0.5022456563009383,0.3044004761138691,presto
presto_gap2.5_v2.0_10yrs.db,0.5670135140733523,0.45947424292521893,0.5245038157890454,0.5423149166779297,0.2306292639499043,presto
presto_gap3.0_mix_v2.0_10yrs.db,0.6428972635985115,0.6657240367231461,0.486934522987386,0.536171812734562,0.3106152732393858,presto
presto_gap3.0_v2.0_10yrs.db,0.5642653200201682,0.47974290779560713,0.5368595213747517,0.5610344942378213,0.25350066614638034,presto
presto_gap3.5_mix_v2.0_10yrs.db,0.6489534263752014,0.7070959290605822,0.495097666950987,0.5059142084735221,0.3091085946182847,presto
presto_gap3.5_v2.0_10yrs.db,0.5311371695855533,0.4684119443434313,0.5500289746069718,0.5482801427736015,0.2574547590394115,presto
presto_gap4.0_mix_v2.0_10yrs.db,0.6198535721722976,0.6654105112898188,0.49989633199176114,0.5508830810060907,0.3413953186739139,presto
presto_gap4.0_v2.0_10yrs.db,0.5923724481285066,0.4560205387991805,0.563341916934327,0.6226372002843936,0.2997748999837435,presto
presto_half_gap1.5_mix_v2.0_10yrs.db,0.5938959979036347,0.6431755077823836,0.540719505575371,0.6326320297082212,0.5502563287906865,presto
presto_half_gap1.5_v2.0_10yrs.db,0.5643811669813774,0.5562611902467821,0.5504574509896465,0.5984960642536586,0.5116696083101421,presto
presto_half_gap2.0_mix_v2.0_10yrs.db,0.6604694448337814,0.6812904230673704,0.5707614882089457,0.6198830425743684,0.5291895146074806,presto
presto_half_gap2.0_v2.0_10yrs.db,0.647560274191631,0.6061132150729764,0.5994526426129554,0.665814753321839,0.5045435907947393,presto
presto_half_gap2.5_mix_v2.0_10yrs.db,0.6836665042906406,0.7048075521413629,0.5634823196280337,0.6102639634618601,0.5619190176171114,presto
presto_half_gap2.5_v2.0_10yrs.db,0.684119726401237,0.5519372078232593,0.6153029371738014,0.6657393003986697,0.5412801312081598,presto
presto_half_gap3.0_mix_v2.0_10yrs.db,0.6913489080606631,0.6621314317569206,0.5750976140738845,0.6489890313775005,0.5663496342906755,presto
presto_half_gap3.0_v2.0_10yrs.db,0.6136885946134653,0.5754697608569869,0.6202079770592133,0.6444401066950008,0.5448506813784385,presto
presto_half_gap3.5_mix_v2.0_10yrs.db,0.6516078315010527,0.6759604660776829,0.5858214645928378,0.6565622075020554,0.5670193911347678,presto
presto_half_gap3.5_v2.0_10yrs.db,0.7093119226380551,0.58583349268201,0.6209399917725684,0.6874867759596688,0.5502438134781494,presto
presto_half_gap4.0_mix_v2.0_10yrs.db,0.6879512081815391,0.6729740074223913,0.5924938672158127,0.7120699716114063,0.5845143855721078,presto
presto_half_gap4.0_v2.0_10yrs.db,0.6521411619647541,0.5972801220156156,0.6473281036607361,0.722950156844973,0.5585607321560982,presto
retro_baseline_v2.0_10yrs.db,0.4559269452896033,0.5540612701261832,0.7159273283071469,0.38569956337219125,1.0,retro
roll_early_v2.0_10yrs.db,0.6057118725076613,0.6229761940714246,0.7920081227781739,0.8634006354630086,0.6628260969562196,roll
rolling_all_sky_ns2_rw0.9_v2.0_10yrs.db,0.5917023439821917,0.6066534244654873,0.7416832772429564,0.8590091428111686,0.7019660054412776,rolling
rolling_bulge_6_v2.0_10yrs.db,0.7229262033068703,0.8624585713138356,0.7487621798820363,1.0,0.6889043083712592,rolling
rolling_bulge_ns2_rw0.5_v2.0_10yrs.db,0.5341868879258956,0.5580322547399457,0.6318286921215465,0.7319547153987701,0.7535240294803962,rolling
rolling_bulge_ns2_rw0.8_v2.0_10yrs.db,0.5732055167832473,0.6030891461959528,0.7188728552102707,0.8441992717430568,0.7229813329988863,rolling
rolling_bulge_ns2_rw0.9_v2.0_10yrs.db,0.551425867173772,0.6172403365772519,0.7479387691010625,0.8162077856249104,0.6892997031853554,rolling
rolling_ns2_rw0.5_v2.0_10yrs.db,0.5064728532472926,0.5657187475050467,0.6318897409060682,0.7944573828890182,0.7578315898842162,rolling
rolling_ns2_rw0.9_v2.0_10yrs.db,0.5682170409468946,0.612515197955168,0.7424406802281337,0.7792386544262793,0.7055408916753503,rolling
rolling_ns3_rw0.5_v2.0_10yrs.db,0.5467668835207218,0.6000860848813095,0.7210460990400781,0.8192976275518118,0.7311924745371754,rolling
rolling_ns3_rw0.9_v2.0_10yrs.db,0.6328240056168545,0.7127030330823452,0.8541733622157098,0.8741303514648148,0.6259335320565579,rolling
six_rolling_ns6_rw0.5_v2.0_10yrs.db,0.6535379992756267,0.7652652059180494,0.8640951236812016,0.8720611336595075,0.700224434789101,six
six_rolling_ns6_rw0.9_v2.0_10yrs.db,1.0,1.0,1.0,0.9457519525780543,0.578109307408889,six
vary_expt_v2.0_10yrs.db,0.3877820394559502,0.46381496230428243,0.16024119793374997,0.300557637926095,0.7846228283275922,vary
vary_gp_gpfrac0.01_v2.0_10yrs.db,0.5735408877372195,0.6417560779802167,0.8827918722041808,0.9142698256150185,0.7044032042816784,vary
vary_gp_gpfrac0.05_v2.0_10yrs.db,0.5701735093380741,0.6590403516487922,0.8790504390230531,0.9132882942008549,0.6911106157901902,vary
vary_gp_gpfrac0.10_v2.0_10yrs.db,0.5994777662905856,0.6149702886908632,0.8661916424658752,0.9046094544843303,0.6861957613310794,vary
vary_gp_gpfrac0.15_v2.0_10yrs.db,0.6072598071163415,0.6105856210625433,0.8231291706542728,0.877121073241149,0.6905889680566301,vary
vary_gp_gpfrac0.20_v2.0_10yrs.db,0.5559830941947677,0.6235036729048159,0.7933672627243187,0.8714695932708166,0.6980881189137677,vary
vary_gp_gpfrac0.25_v2.0_10yrs.db,0.577633863863665,0.6187120368663125,0.7605050672105513,0.828319666754188,0.6996092583940317,vary
vary_gp_gpfrac0.30_v2.0_10yrs.db,0.5678805577334118,0.6163135626156537,0.7328404459369113,0.8134900385581006,0.7035158193856148,vary
vary_gp_gpfrac0.35_v2.0_10yrs.db,0.535834125433682,0.6200258899335134,0.6865675238836687,0.7685706008396376,0.7095422299590466,vary
vary_gp_gpfrac0.40_v2.0_10yrs.db,0.5221631802376231,0.5837286527897536,0.6519589651614468,0.7110598824857303,0.7058501245558576,vary
vary_gp_gpfrac0.45_v2.0_10yrs.db,0.5187167160800181,0.566356579143277,0.6246390466878718,0.744169369340275,0.7058027160000135,vary
vary_gp_gpfrac0.50_v2.0_10yrs.db,0.5318567104366805,0.5796095487350378,0.5946746953212433,0.6453988175742186,0.7304050900665359,vary
vary_gp_gpfrac0.55_v2.0_10yrs.db,0.5126754267840674,0.5709602186357285,0.5624171717707797,0.6294855506817916,0.723722229451057,vary
vary_gp_gpfrac0.75_v2.0_10yrs.db,0.41035057740908165,0.516518715898493,0.36603707530094054,0.5112294586755128,0.7105596962054235,vary
vary_gp_gpfrac1.00_v2.0_10yrs.db,0.052553174109715994,0.08950700053995872,0.02677243998789418,0.04119822292105326,0.6636711690597066,vary
vary_nes_nesfrac0.01_v2.0_10yrs.db,0.5750005100815261,0.6362675889684921,0.9447445955904429,0.9058766243046327,0.712082218645017,vary
vary_nes_nesfrac0.05_v2.0_10yrs.db,0.5772130374795984,0.6098161872239849,0.9186735650882637,0.8754026882488698,0.7043863207962703,vary
vary_nes_nesfrac0.10_v2.0_10yrs.db,0.5749679527803315,0.6331336308060704,0.8865401913378099,0.8997762679264152,0.7055573019450062,vary
vary_nes_nesfrac0.15_v2.0_10yrs.db,0.5732390579838459,0.6430846565359142,0.857138449774403,0.9019504939872687,0.7091251983396527,vary
vary_nes_nesfrac0.20_v2.0_10yrs.db,0.561689373005461,0.616196622376011,0.8190586919730412,0.8845169977291846,0.7015224342070194,vary
vary_nes_nesfrac0.25_v2.0_10yrs.db,0.5592597805493701,0.5996952000540638,0.785166517243843,0.8694864660779315,0.7087030475529303,vary
vary_nes_nesfrac0.30_v2.0_10yrs.db,0.5682170409468946,0.612515197955168,0.7424406802281337,0.7792386544262793,0.7055408916753503,vary
vary_nes_nesfrac0.35_v2.0_10yrs.db,0.570889554091672,0.599000356069879,0.7072387366169103,0.7579723214986098,0.7077839927581757,vary
vary_nes_nesfrac0.40_v2.0_10yrs.db,0.5325938685334057,0.5699173727389553,0.661982108221778,0.6836758671259857,0.6983923950877552,vary
vary_nes_nesfrac0.45_v2.0_10yrs.db,0.5192752077033503,0.5854822929692528,0.6315505771682342,0.7199593761769508,0.7011910548242938,vary
vary_nes_nesfrac0.50_v2.0_10yrs.db,0.51334731068544,0.5833396992102755,0.6091736278847915,0.677125901738266,0.6893859514607328,vary
vary_nes_nesfrac0.55_v2.0_10yrs.db,0.5061414194247997,0.5846524372774311,0.6096112103522837,0.6255091044474803,0.6936927797604863,vary
vary_nes_nesfrac0.75_v2.0_10yrs.db,0.4592371985674833,0.5205853135237933,0.4674347181390239,0.4891518041535944,0.6697338556425747,vary
vary_nes_nesfrac1.00_v2.0_10yrs.db,0.2308394854189804,0.3787996545497447,0.36549833425660566,0.3931672548463773,0.534134915342286,vary
